soil_moisture
1958-01-01,21782.091367147306
1958-02-01,21782.160837462
1958-03-01,21782.0546644188
1958-04-01,21782.649686246088
1958-05-01,21782.306091863913
1958-06-01,21781.850146213754
1958-07-01,21781.28198412313
1958-08-01,21781.026286825407
1958-09-01,21781.205148472327
1958-10-01,21781.346600994515
1958-11-01,21781.320484198164
1958-12-01,21781.811404192387
1959-01-01,21782.05621816592
1959-02-01,21782.175588865844
1959-03-01,21782.196436554226
1959-04-01,21782.407829941494
1959-05-01,21782.374835165898
1959-06-01,21781.52739163241
1959-07-01,21780.819209549718
1959-08-01,21780.928904053075
1959-09-01,21781.41715237322
1959-10-01,21781.61121431061
1959-11-01,21781.889888446884
1959-12-01,21782.188336111605
1960-01-01,21782.514358756143
1960-02-01,21782.59999500067
1960-03-01,21782.606256379102
1960-04-01,21783.102000717994
1960-05-01,21782.77335078286
1960-06-01,21781.90356726626
1960-07-01,21781.332097750037
1960-08-01,21781.258463362163
1960-09-01,21781.60136697857
1960-10-01,21781.826536554774
1960-11-01,21781.976688242114
1960-12-01,21782.26131641697
1961-01-01,21782.322732515626
1961-02-01,21782.528974547746
1961-03-01,21782.44059660869
1961-04-01,21782.667088729235
1961-05-01,21782.5174772725
1961-06-01,21781.88982324622
1961-07-01,21781.486837236975
1961-08-01,21781.21666879395
1961-09-01,21781.545801381402
1961-10-01,21781.4994081763
1961-11-01,21782.151688424317
1961-12-01,21782.58971361668
1962-01-01,21782.785733257744
1962-02-01,21782.614211650172
1962-03-01,21782.536590749365
1962-04-01,21783.007354804304
1962-05-01,21782.758299945344
1962-06-01,21782.05196061867
1962-07-01,21781.384509712138
1962-08-01,21781.180254426035
1962-09-01,21781.474506614963
1962-10-01,21781.435672193864
1962-11-01,21781.746094902115
1962-12-01,21782.342352363565
1963-01-01,21782.521702053284
1963-02-01,21782.60864048295
1963-03-01,21782.47364404096
1963-04-01,21782.816936669453
1963-05-01,21782.364378054233
1963-06-01,21781.853006949852
1963-07-01,21781.25910779158
1963-08-01,21780.968544986157
1963-09-01,21780.872735615423
1963-10-01,21780.72858192678
1963-11-01,21781.603468484755
1963-12-01,21782.104544605703
1964-01-01,21782.203341756653
1964-02-01,21782.12995021277
1964-03-01,21782.167679041784
1964-04-01,21782.685678779217
1964-05-01,21782.71532415717
1964-06-01,21781.9856388353
1964-07-01,21781.187117551835
1964-08-01,21781.012637766285
1964-09-01,21781.22149774949
1964-10-01,21781.407807615808
1964-11-01,21781.42407895557
1964-12-01,21781.847331540932
1965-01-01,21781.94784862073
1965-02-01,21781.857399246634
1965-03-01,21781.883741019392
1965-04-01,21782.593266005453
1965-05-01,21782.43769774781
1965-06-01,21781.91226649031
1965-07-01,21781.205117916226
1965-08-01,21781.07355686838
1965-09-01,21781.40378938937
1965-10-01,21781.556086009754
1965-11-01,21781.618109404444
1965-12-01,21782.02278615826
1966-01-01,21782.10868530567
1966-02-01,21782.500268328262
1966-03-01,21782.481526907057
1966-04-01,21782.750414855578
1966-05-01,21782.978897660603
1966-06-01,21782.114360331496
1966-07-01,21781.029071394907
1966-08-01,21780.94173676751
1966-09-01,21780.873796813365
1966-10-01,21781.16065088898
1966-11-01,21781.396828125024
1966-12-01,21781.830647802544
1967-01-01,21781.885176046435
1967-02-01,21782.31532202452
1967-03-01,21782.281043108105
1967-04-01,21782.77976229216
1967-05-01,21782.65099949091
1967-06-01,21781.729515236566
1967-07-01,21780.963497985264
1967-08-01,21780.763497939683
1967-09-01,21780.83418012962
1967-10-01,21780.981304821475
1967-11-01,21781.65230834991
1967-12-01,21782.069011410647
1968-01-01,21782.20401284671
1968-02-01,21782.523061790056
1968-03-01,21782.519864101076
1968-04-01,21782.74036123169
1968-05-01,21782.844881751596
1968-06-01,21782.31829713222
1968-07-01,21781.37314438122
1968-08-01,21780.8880943233
1968-09-01,21781.240907522573
1968-10-01,21781.190408942573
1968-11-01,21781.968786506568
1968-12-01,21782.501935948716
1969-01-01,21782.582230385728
1969-02-01,21782.535193793374
1969-03-01,21782.591517977355
1969-04-01,21782.99958982499
1969-05-01,21782.666771200376
1969-06-01,21781.926897397952
1969-07-01,21781.192972675017
1969-08-01,21780.955969668965
1969-09-01,21781.10642077922
1969-10-01,21781.409012088523
1969-11-01,21781.596271120045
1969-12-01,21782.169461789515
1970-01-01,21782.493646519208
1970-02-01,21782.413249150704
1970-03-01,21782.46113097993
1970-04-01,21782.68228542145
1970-05-01,21782.473663076555
1970-06-01,21781.803978764747
1970-07-01,21781.03711000466
1970-08-01,21780.953819240793
1970-09-01,21781.61453293522
1970-10-01,21781.796508908305
1970-11-01,21782.135786988776
1970-12-01,21782.490642489658
1971-01-01,21782.66468070828
1971-02-01,21782.71404957022
1971-03-01,21782.552337641453
1971-04-01,21782.92085349953
1971-05-01,21782.71839781323
1971-06-01,21782.06073702465
1971-07-01,21781.14823584584
1971-08-01,21781.06070807346
1971-09-01,21781.320300240037
1971-10-01,21781.691235942322
1971-11-01,21781.8211070227
1971-12-01,21782.068640407982
1972-01-01,21782.383073002446
1972-02-01,21782.515761198967
1972-03-01,21782.578783816687
1972-04-01,21782.916578577788
1972-05-01,21782.64778397741
1972-06-01,21781.920622334208
1972-07-01,21780.823265665207
1972-08-01,21780.69504885493
1972-09-01,21781.108265389215
1972-10-01,21781.555400666595
1972-11-01,21782.157044238706
1972-12-01,21782.3745086002
1973-01-01,21782.392748220947
1973-02-01,21782.434492535805
1973-03-01,21782.368118007344
1973-04-01,21782.757832202704
1973-05-01,21782.53606308674
1973-06-01,21781.691372880723
